wine number,date,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color
3967,2024-08-31,6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,slightly dissatisfied,white
3968,2023-05-13,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,neutral,red
3969,2023-03-17,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,slightly dissatisfied,white
3970,2024-01-26,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,neutral,white
3971,2023-08-08,8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,neutral,red
3972,2023-06-05,7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,neutral,red
3973,2023-03-23,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,slightly dissatisfied,red
3974,2024-11-09,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,moderately satisfied,red
3975,2023-11-30,6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,slightly satisfied,white
3976,2024-03-13,6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,neutral,white
3977,2023-01-02,7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,neutral,red
3978,2023-01-02,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,neutral,white
3979,2023-09-22,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,extremly dissatisfied,white
3980,2023-04-24,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,slightly satisfied,red
3981,2024-07-01,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,neutral,white
3982,2023-01-23,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,neutral,white
3983,2024-06-20,7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,neutral,white
3984,2022-03-14,7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,neutral,white
3985,2024-04-26,7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,slightly satisfied,red
3986,2024-09-11,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,slightly dissatisfied,white
3987,2024-07-03,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,slightly dissatisfied,red
3988,2023-03-31,7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,slightly satisfied,white
3989,2024-10-16,6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,neutral,white
3990,2023-10-06,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,slightly dissatisfied,white
3991,2024-07-21,7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,moderately dissatisfied,white
3992,2023-03-02,7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,neutral,white
3993,2024-05-01,6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,slightly satisfied,white
3994,2022-08-26,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,moderately satisfied,white
3995,2023-04-28,7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,slightly dissatisfied,white
3996,2022-12-14,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,neutral,white
3997,2023-05-10,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,neutral,red
3998,2024-06-05,7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,slightly dissatisfied,red
3999,2024-06-28,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,slightly satisfied,white
4000,2023-03-04,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,slightly dissatisfied,red
4001,2023-10-14,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,neutral,white
4002,2023-03-29,7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,neutral,white
4003,2023-09-25,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,slightly dissatisfied,white
4004,2023-09-15,6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,neutral,white
4005,2024-01-09,5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,slightly dissatisfied,white
4006,2023-03-17,6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,neutral,red
4007,2024-02-23,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,slightly dissatisfied,white
4008,2024-12-06,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,neutral,red
4009,2023-12-03,6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4,slightly satisfied,white
4010,2022-10-04,7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,slightly satisfied,white
4011,2024-03-20,10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,moderately satisfied,red
4012,2023-04-06,8.4,0.22,0.28,18.8,0.028,55,130,0.998,2.96,0.35,11.6,slightly dissatisfied,white
4013,2022-10-03,7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,neutral,white
4014,2022-06-21,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,slightly satisfied,white
4015,2023-02-02,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,slightly dissatisfied,white
4016,2024-01-17,7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,neutral,white
4017,2022-07-23,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,neutral,white
4018,2024-07-16,6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,slightly satisfied,white
4019,2023-12-22,6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,neutral,white
4020,2022-02-09,7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,neutral,white
4021,2023-05-14,7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,slightly dissatisfied,white
4022,2022-06-20,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,slightly satisfied,white
4023,2023-03-19,7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,moderately satisfied,white
4024,2022-02-03,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,moderately dissatisfied,white
4025,2023-05-07,6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,neutral,white
4026,2022-10-04,7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,slightly dissatisfied,white
4027,2024-05-04,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,slightly dissatisfied,red
4028,2022-04-16,7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,slightly dissatisfied,red
4029,2023-12-31,6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,slightly dissatisfied,white
4030,2022-02-05,6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,slightly satisfied,white
4031,2024-04-06,7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,slightly satisfied,white
4032,2022-09-24,7.6,0.26,0.32,1.3,0.048,23,76,0.9903,2.96,0.46,12,neutral,white
4033,2023-01-04,6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,neutral,white
4034,2022-06-27,10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,neutral,white
4035,2023-07-10,6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,slightly dissatisfied,white
4036,2023-05-23,11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,neutral,red
4037,2023-09-21,6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,slightly dissatisfied,white
4038,2024-01-23,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,slightly satisfied,white
4039,2022-02-04,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,slightly satisfied,white
4040,2024-07-08,7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,neutral,white
4041,2024-05-17,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,moderately dissatisfied,white
4042,2024-12-08,5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,slightly satisfied,white
4043,2023-11-10,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,slightly dissatisfied,red
4044,2022-06-10,5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,slightly satisfied,white
4045,2022-10-12,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,neutral,white
4046,2023-08-29,6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,neutral,white
4047,2022-11-28,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,slightly satisfied,white
4048,2022-01-21,7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,neutral,red
4049,2024-10-21,6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,slightly satisfied,white
4050,2024-01-22,6.3,0.39,0.22,2.8,0.048,53,173,0.99304,3.24,0.45,9.8,slightly dissatisfied,white
4051,2022-07-12,5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,neutral,white
4052,2022-11-26,6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,slightly dissatisfied,white
4053,2022-11-01,6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,neutral,white
4054,2024-01-01,6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,neutral,white
4055,2024-06-10,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,slightly satisfied,white
4056,2023-01-01,7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,neutral,white
4057,2023-08-11,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,slightly dissatisfied,red
4058,2022-03-06,7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,slightly dissatisfied,white
4059,2023-08-09,6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,neutral,white
4060,2023-05-05,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,neutral,white
4061,2024-05-19,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,neutral,red
4062,2022-05-13,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,slightly dissatisfied,white
4063,2024-01-10,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,neutral,red
4064,2024-02-21,6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,neutral,white
4065,2022-12-25,5.9,0.29,0.28,3.2,0.035,16,117,0.98959,3.26,0.42,12.6,neutral,white
4066,2023-07-28,6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,slightly dissatisfied,white
4067,2022-08-01,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,slightly satisfied,white
4068,2024-04-22,9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,neutral,red
4069,2022-10-22,8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,neutral,white
4070,2022-11-16,8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,slightly dissatisfied,red
4071,2024-08-25,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,slightly dissatisfied,white
4072,2024-06-22,6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,moderately satisfied,white
4073,2024-04-30,8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,neutral,white
4074,2022-07-04,7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,neutral,white
4075,2022-10-24,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,slightly satisfied,red
4076,2022-08-26,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,slightly satisfied,white
4077,2023-03-24,8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,slightly dissatisfied,white
4078,2023-12-02,6,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,slightly satisfied,white
4079,2024-11-26,7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,neutral,red
4080,2023-11-04,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,slightly satisfied,white
4081,2024-08-23,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,neutral,white
4082,2023-04-18,9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,neutral,white
4083,2024-05-31,8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,neutral,white
4084,2023-11-15,7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,slightly dissatisfied,red
4085,2022-02-18,5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,neutral,white
4086,2022-05-09,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,slightly satisfied,white
4087,2023-04-12,6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,slightly satisfied,white
4088,2024-04-27,7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,slightly satisfied,white
4089,2024-05-11,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,slightly satisfied,red
4090,2022-08-21,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,neutral,white
4091,2024-04-30,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,slightly satisfied,white
4092,2023-09-09,7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,slightly dissatisfied,white
4093,2024-02-07,7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,slightly dissatisfied,red
4094,2023-04-12,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,slightly dissatisfied,red
4095,2023-09-29,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,slightly dissatisfied,white
4096,2023-09-01,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,slightly satisfied,white
4097,2022-07-28,9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,slightly dissatisfied,red
4098,2023-08-19,6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,neutral,white
4099,2022-04-18,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,neutral,red
4100,2024-05-17,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,neutral,white
4101,2023-10-07,7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,neutral,white
4102,2022-12-02,6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,slightly dissatisfied,white
4103,2023-11-07,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,slightly satisfied,red
4104,2022-04-28,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,neutral,red
4105,2022-08-11,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,slightly dissatisfied,red
4106,2024-08-05,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,neutral,white
4107,2023-11-29,7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,slightly dissatisfied,white
4108,2024-05-07,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,neutral,white
4109,2022-03-11,7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,neutral,white
4110,2022-01-08,8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,neutral,white
4111,2022-08-05,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,neutral,white
4112,2022-12-29,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,slightly satisfied,red
4113,2023-12-28,7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,slightly satisfied,white
4114,2023-11-13,6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,slightly dissatisfied,red
4115,2024-12-03,6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,neutral,white
4116,2022-08-14,7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,neutral,red
4117,2023-04-06,8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,neutral,white
4118,2023-01-07,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,moderately satisfied,white
4119,2022-12-05,6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,neutral,white
4120,2023-07-08,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,slightly satisfied,white
4121,2024-10-11,6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,slightly dissatisfied,white
4122,2024-01-31,7.2,0.6,0.2,9.9,0.07,21,174,0.9971,3.03,0.54,9.1,slightly dissatisfied,white
4123,2022-02-17,6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,slightly satisfied,white
4124,2023-09-19,6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,neutral,white
4125,2024-12-04,7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,slightly dissatisfied,white
4126,2022-02-02,6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,neutral,white
4127,2024-01-05,6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,neutral,white
4128,2023-03-01,7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,neutral,white
4129,2024-06-12,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,slightly dissatisfied,white
4130,2023-08-19,7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,neutral,white
4131,2023-07-19,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,slightly dissatisfied,red
4132,2023-01-25,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,slightly dissatisfied,red
4133,2024-05-25,7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,neutral,white
4134,2024-02-22,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,slightly dissatisfied,white
4135,2024-06-24,6.5,0.24,0.19,1.2,0.041,30,111,0.99254,2.99,0.46,9.4,neutral,white
4136,2023-06-02,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,neutral,red
4137,2022-03-28,5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,slightly satisfied,white
4138,2024-06-14,8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,moderately dissatisfied,white
4139,2023-11-30,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,neutral,white
4140,2024-10-12,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,neutral,white
4141,2022-01-12,8.1,0.24,0.32,10.5,0.03,34,105,0.99407,3.11,0.42,11.8,neutral,white
4142,2023-11-13,6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,neutral,white
4143,2024-09-11,7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,neutral,white
4144,2023-11-30,8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,slightly dissatisfied,white
4145,2023-12-27,6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,slightly satisfied,white
4146,2024-03-18,9.2,0.15,0.68,1.6,0.046,22,130,0.9948,3.02,0.45,10.4,neutral,white
4147,2022-03-04,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,neutral,white
4148,2022-04-04,6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,neutral,white
4149,2023-12-17,7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,neutral,white
4150,2023-04-24,6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1,neutral,white
4151,2022-03-21,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,neutral,white
4152,2023-05-31,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11,slightly satisfied,white
4153,2024-04-08,9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,slightly dissatisfied,red
4154,2022-05-07,6.3,0.28,0.47,11.2,0.04,61,183,0.99592,3.12,0.51,9.5,neutral,white
4155,2023-07-14,6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3,slightly satisfied,white
4156,2022-04-03,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,moderately dissatisfied,red
4157,2024-06-27,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,neutral,white
4158,2023-04-06,6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,slightly satisfied,white
4159,2023-07-11,6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,slightly dissatisfied,white
4160,2022-02-18,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,slightly dissatisfied,red
4161,2024-05-27,6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,slightly dissatisfied,white
4162,2024-03-31,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,slightly dissatisfied,white
4163,2022-07-07,6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,slightly dissatisfied,white
4164,2024-10-11,7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,slightly dissatisfied,white
4165,2023-08-04,7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,slightly dissatisfied,white
4166,2023-09-07,6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,neutral,white
4167,2022-05-26,6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,slightly satisfied,white
4168,2023-11-09,6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,slightly dissatisfied,white
4169,2023-01-08,9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,moderately dissatisfied,white
4170,2024-07-06,6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,moderately satisfied,white
4171,2023-09-07,6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,slightly satisfied,white
4172,2023-10-30,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,slightly dissatisfied,red
4173,2022-12-30,6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,neutral,white
4174,2024-08-25,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,slightly satisfied,white
4175,2022-06-21,7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,slightly dissatisfied,white
4176,2024-04-02,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,slightly dissatisfied,red
4177,2022-10-10,7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,neutral,white
4178,2023-06-15,9.8,0.44,0.4,2.8,0.036,35,167,0.9956,2.97,0.39,9.2,slightly dissatisfied,white
4179,2022-03-29,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,slightly dissatisfied,red
4180,2022-05-07,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,neutral,red
4181,2023-06-11,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,slightly dissatisfied,white
4182,2023-07-26,8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,neutral,white
4183,2024-08-01,6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,neutral,white
4184,2024-05-28,6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,slightly satisfied,white
4185,2022-10-06,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,neutral,white
4186,2022-07-15,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,slightly dissatisfied,red
4187,2022-04-24,6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,slightly satisfied,white
4188,2024-09-22,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.13333333,slightly satisfied,white
4189,2023-03-14,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,slightly dissatisfied,white
4190,2023-10-18,7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,slightly satisfied,white
4191,2024-09-13,4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,moderately satisfied,white
4192,2024-02-11,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,slightly dissatisfied,white
4193,2024-05-23,6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,neutral,white
4194,2024-04-06,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,slightly dissatisfied,white
4195,2023-02-11,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,neutral,white
4196,2024-01-28,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,slightly dissatisfied,red
4197,2023-09-19,11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,neutral,red
4198,2023-02-07,5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3,neutral,white
4199,2024-03-30,7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,slightly satisfied,white
4200,2023-10-18,7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,slightly satisfied,white
4201,2022-10-03,7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,neutral,white
